unique_id,age,gender
548957868,23,NA
504546409,NA,NA
994692692,21,female
902223169,19,female
469672453,27,male
637089700,43,male
4345805,54,male
786441188,27,female
510787584,34,female
684265529,19,nonbinary
47022865,21,male
199802590,27,male
295696078,32,male
32034696,38,male
609227927,18,male
59367911,47,female
386661197,46,male
238678139,38,female
764499289,52,male
586346915,36,female
100125154,29,male
550721671,28,female
161234436,25,male
621686155,42,female
238079276,28,female
561842983,23,female
627537443,27,female
591041139,29,nonbinary
601833546,34,male
874662429,36,male
658421880,53,female
557207580,28,female
13708908,25,male
699441423,48,male
841303698,19,female
881713870,25,nonbinary
663795436,39,female
422087765,45,female
343944905,31,male
920212493,61,male
526570034,63,male
882246022,61,male
904883244,59,male
293831276,60,female
530863876,42,male
753565148,26,female
727031797,27,male
751712225,22,female
464934738,21,male
563522777,53,male
373740279,51,female
589607780,35,female
681045009,26,male
855399085,32,female
821599197,45,female
311497290,48,male
254118946,64,female
317124448,36,female
730068356,51,female
236383059,37,male
246374429,21,female
952386283,26,female
694264273,31,male
175188025,42,male
339232704,31,male
386456897,23,male
637668138,30,male
237498336,49,male
631750145,24,female
867476338,29,female
196574198,21,female
692009266,31,male
477618299,53,male
325830955,50,male
965314508,28,male
72442795,19,female
216287717,50,female
287027128,37,female
247697997,20,male
954130481,50,female
564734227,30,male
797453632,21,male
85445170,26,male
614285355,59,male
14943693,39,male
920896673,35,male
75092407,22,female
83185292,39,male
234276163,55,female
940229231,45,male
456445084,48,male
102678881,32,male
187172011,51,female
108266335,32,female
752580117,35,male
506524197,36,male
524337317,29,male
759418836,32,male
