unique_id,age,gender,mean_self_report,n_items,amp_score,proportion_too_fast_trials,n_trials,exclude_amp
548957868,23,NA,NA,NA,NA,NA,NA,NA
504546409,NA,NA,NA,NA,0.375,0,8,include
994692692,21,female,1.3333333333333333,3,0.8055555555555557,0,72,include
902223169,19,female,2.6666666666666665,3,0.5694444444444444,0,72,include
469672453,27,male,1.3333333333333333,3,0.25,0,72,include
637089700,43,male,2,3,0.5,0,72,include
4345805,54,male,3,3,0.36111111111111105,0.041666666666666664,72,include
786441188,27,female,1.6666666666666667,3,0.7638888888888888,0,72,include
510787584,34,female,4,3,0.5138888888888888,0.013888888888888888,72,include
684265529,19,nonbinary,1,3,0.5416666666666666,0,72,include
47022865,21,male,1,3,0.4722222222222222,0,72,include
199802590,27,male,5.666666666666667,3,0.5277777777777778,0,72,include
295696078,32,male,1,3,0.5416666666666667,0,72,include
32034696,38,male,1.3333333333333333,3,0.625,0,72,include
609227927,18,male,NA,NA,0.9861111111111112,0.05555555555555555,72,include
59367911,47,female,1,3,0.48611111111111105,0,72,include
386661197,46,male,2.3333333333333335,3,0.4444444444444443,0,72,include
238678139,38,female,1,3,0.6527777777777778,0,72,include
764499289,52,male,1.6666666666666667,3,0.5555555555555556,0,72,include
586346915,36,female,1,3,0.5416666666666667,0,72,include
100125154,29,male,2.3333333333333335,3,0.5138888888888888,0,72,include
550721671,28,female,1,3,0.5277777777777779,0,72,include
161234436,25,male,6.666666666666667,3,0.5694444444444444,0.1111111111111111,72,exclude
621686155,42,female,1,3,0.5138888888888888,0,72,include
238079276,28,female,1.6666666666666667,3,0.5416666666666667,0,72,include
561842983,23,female,1,3,0.9444444444444444,0,72,include
627537443,27,female,1,3,0.6805555555555557,0,72,include
591041139,29,nonbinary,3.6666666666666665,3,0.6111111111111112,0,72,include
601833546,34,male,3,3,0.5,0,72,include
874662429,36,male,3,3,0.5277777777777778,0,72,include
658421880,53,female,1,3,0.5138888888888888,0,72,include
557207580,28,female,1,3,0.5555555555555556,0,72,include
13708908,25,male,1,3,0.5555555555555556,0,72,include
699441423,48,male,1,3,0.9861111111111112,0,72,include
841303698,19,female,1,3,0.5833333333333333,0,72,include
881713870,25,nonbinary,5.333333333333333,3,0.4861111111111111,0,72,include
663795436,39,female,1,3,0.5277777777777778,0,72,include
422087765,45,female,1,3,0.48611111111111105,0,72,include
343944905,31,male,4.666666666666667,3,0.5277777777777779,0.3194444444444444,72,exclude
920212493,61,male,1.3333333333333333,3,0.8611111111111112,0,72,include
526570034,63,male,1,3,0.6111111111111112,0,72,include
882246022,61,male,1,3,0.5277777777777779,0,72,include
904883244,59,male,1,3,0.6111111111111112,0,72,include
293831276,60,female,1,3,0.06944444444444445,0,72,include
530863876,42,male,2.6666666666666665,3,0.4305555555555556,0,72,include
753565148,26,female,1,3,0.5555555555555556,0,72,include
727031797,27,male,1,3,0.7361111111111112,0.05555555555555555,72,include
751712225,22,female,1,3,0.5,0,72,include
464934738,21,male,2,3,0.48611111111111105,0.08333333333333333,72,include
563522777,53,male,2.6666666666666665,3,0.5,0.08333333333333333,72,include
373740279,51,female,1,3,0.625,0,72,include
589607780,35,female,1,3,0.48611111111111105,0,72,include
681045009,26,male,3,3,0.9583333333333334,0.041666666666666664,72,include
855399085,32,female,1,3,0,0,72,include
821599197,45,female,1,3,0.36111111111111105,0,72,include
311497290,48,male,3,3,0.29166666666666663,0,72,include
254118946,64,female,2.6666666666666665,3,0.45833333333333337,0,72,include
317124448,36,female,1,3,0.875,0,72,include
730068356,51,female,1,3,0.9444444444444444,0,72,include
236383059,37,male,1,3,0.48611111111111105,0,72,include
246374429,21,female,1,3,0.5,0,72,include
952386283,26,female,2.3333333333333335,3,0.5277777777777778,0,72,include
694264273,31,male,2.3333333333333335,3,0.5972222222222222,0,72,include
175188025,42,male,1,3,0.8194444444444444,0,72,include
339232704,31,male,2,3,0.7777777777777778,0,72,include
386456897,23,male,1.3333333333333333,3,0.47222222222222215,0,72,include
637668138,30,male,2,3,0.5,0.013888888888888888,72,include
237498336,49,male,1,3,0.5833333333333334,0,72,include
631750145,24,female,1,3,0.5138888888888888,0.125,72,exclude
867476338,29,female,1,3,0.47222222222222215,0,72,include
196574198,21,female,1,3,0.8888888888888888,0,72,include
692009266,31,male,1,3,0.5416666666666666,0,72,include
477618299,53,male,1,3,0.6388888888888888,0,72,include
325830955,50,male,4.333333333333333,3,0.5694444444444444,0.027777777777777776,72,include
965314508,28,male,1,3,0.5,0,72,include
72442795,19,female,1.6666666666666667,3,0.9444444444444444,0,72,include
216287717,50,female,3.3333333333333335,3,0.5277777777777778,0,72,include
287027128,37,female,1,3,0.5,0,72,include
247697997,20,male,2,3,0.625,0,72,include
954130481,50,female,1,3,0.5138888888888888,0,72,include
564734227,30,male,1.6666666666666667,3,0.375,0.1527777777777778,72,exclude
797453632,21,male,1,3,0.5833333333333334,0.013888888888888888,72,include
85445170,26,male,1,3,0.45833333333333337,0.18055555555555555,72,exclude
614285355,59,male,1,3,0.5694444444444444,0,72,include
14943693,39,male,1.3333333333333333,3,0.9722222222222222,0,72,include
920896673,35,male,1,3,0.4722222222222222,0.05555555555555555,72,include
75092407,22,female,1,3,0.4027777777777778,0.027777777777777776,72,include
83185292,39,male,3.3333333333333335,3,0.4305555555555556,0,72,include
234276163,55,female,1,3,0.8472222222222222,0,72,include
940229231,45,male,3,3,0.6805555555555556,0,72,include
456445084,48,male,1,3,0.5138888888888888,0,72,include
102678881,32,male,1,3,0.9861111111111112,0,72,include
187172011,51,female,1,3,0.9861111111111112,0,72,include
108266335,32,female,1,3,0.6111111111111112,0,72,include
752580117,35,male,1,3,0.13888888888888892,0,72,include
506524197,36,male,2,3,0.5555555555555557,0,72,include
524337317,29,male,1.6666666666666667,3,0.5555555555555556,0,72,include
759418836,32,male,1,3,0.9722222222222222,0.013888888888888888,72,include
233735378,NA,NA,1.6666666666666667,3,0.5,0,72,include
246532124,NA,NA,4,1,0.5486111111111112,0.006944444444444444,144,include
494447594,NA,NA,1,3,0.875,0,72,include
893377996,NA,NA,NA,1,NA,NA,NA,NA
